name,overall,position,value,value_predicted,difference
M. Schmelzer,71,2,0.975,1.379351145796938,-0.4043511457969381
K. Klefisch,66,2,1.2,1.6020611178571027,-0.40206111785710275
J. Aramburu,65,2,1.6,2.000827711959599,-0.4008277119595989
A. Zaroury,68,4,2.7,3.1004939745610884,-0.40049397456108826
Y. Mallı,72,4,2.3,2.6986901469668605,-0.39869014696686067
M. Obafemi,68,4,2.7,3.094646771898089,-0.39464677189808883
T. Arslan,73,3,2.5,2.893508646882799,-0.3935086468827991
F. Klos,73,4,1.9,2.2917013036906115,-0.3917013036906116
B. Martins Indi,72,2,2.0,2.3910427000680756,-0.3910427000680756
C. Eiting,71,3,3.7000000000000006,4.090190587338041,-0.39019058733804046
M. Cassierra,72,4,4.7,5.0901204750262865,-0.39012047502628633
A. Scott,64,4,1.5,1.8886713177585848,-0.38867131775858477
R. Tagir,66,2,1.9,2.2864171200482564,-0.38641712004825646
F. Sacko,73,2,3.7000000000000006,4.085968216061462,-0.3859682160614617
Karrikaburu,66,4,2.2,2.580631068889907,-0.38063106888990683
Andrés Martín,69,4,3.2,3.5774158848383006,-0.37741588483830046
J. Sambia,75,2,7.999999999999998,8.376291668767161,-0.3762916687671627
M. Blažič,73,2,3.1,3.4761756082302835,-0.3761756082302834
D. Palacios,70,2,3.4,3.775092805562251,-0.3750928055622511
F. Domínguez,69,3,2.2,2.5744038629061943,-0.3744038629061941
Iago,75,2,7.499999999999999,7.870046860702472,-0.37004686070247317
M. Hector,71,2,1.8,2.169950965000483,-0.3699509650004831
Lucas Torró,74,3,4.999999999999999,5.367395078550857,-0.3673950785508575
R. Nteka,73,4,6.0,6.366867286058498,-0.36686728605849783
A. Ba,63,4,1.1,1.4661357520623026,-0.36613575206230253
M. Malsa,74,3,5.5,5.866030048906858,-0.3660300489068584
Ramalho,72,2,2.4,2.764782655536873,-0.36478265553687317
Sidcley,74,2,3.8,4.164191263821772,-0.36419126382177236
R. Neudecker,69,3,2.0,2.3582662670540624,-0.3582662670540624
R. Providence,67,4,2.2,2.5504645285902385,-0.35046452859023836
M. Peart-Harris,64,4,1.4,1.7503737662114163,-0.35037376621141636
A. Ćorić,69,4,2.1,2.4495137687166837,-0.3495137687166836
M. Vydra,73,4,3.0000000000000004,3.349491552793213,-0.34949155279321253
C. De Ketelaere,76,4,16.5,16.849151950002582,-0.34915195000258237
R. Drăgușin,67,2,2.3,2.646964421702397,-0.3469644217023973
D. Jebbison,63,4,1.2,1.5462915476218897,-0.34629154762188974
L. López,74,4,1.4,1.737326131924703,-0.3373261319247032
S. Mannsverk,66,3,1.9,2.2341789755387715,-0.3341789755387716
N. Castro,68,4,2.9,3.2325939163702846,-0.3325939163702847
V. Kristiansen,65,2,1.6,1.932196100093249,-0.33219610009324896
G. Simeone,65,4,1.8,2.1309526914949144,-0.33095269149491435
C. Nunnely,68,3,1.9,2.2289281835289696,-0.3289281835289697
G. Moreno,76,4,3.2,3.5284937177638445,-0.3284937177638443
Cafú,69,3,1.2,1.5274737354086796,-0.32747373540867963
S. Corchia,72,2,2.0,2.326968122849734,-0.32696812284973387
B. Garré,68,3,2.6,2.9212960955182417,-0.32129609551824156
V. Barco,63,2,1.3,1.6194821082535074,-0.3194821082535073
M. Pack,71,3,1.6,1.9188287972841525,-0.31882879728415237
É. Michut,65,4,1.8,2.1156272214488854,-0.31562722144888533
M. Cauteruccio,70,4,0.775,1.0894853715342603,-0.31448537153426026
D. González,74,3,4.5,4.80528301259563,-0.3052830125956296
G. Chakvetadze,69,4,3.1,3.4032221032552226,-0.3032221032552225
A. Esaka,71,4,1.9,2.202635236822745,-0.30263523682274496
S. Ben Seghir,65,3,1.7,2.0018762708176197,-0.3018762708176197
Villalibre,73,4,6.0,6.295619648533889,-0.2956196485338891
M. John,67,2,2.3,2.5921977272496175,-0.2921977272496177
Allan Sousa,69,3,2.1,2.385476939545035,-0.2854769395450347
F. Stevanović,64,4,1.5,1.7836161101347183,-0.2836161101347183
J. Bakayoko,64,3,1.5,1.782092830719132,-0.28209283071913194
G. Hoarau,70,4,0.55,0.8313114270623334,-0.28131142706233336
B. Oczipka,71,2,1.3,1.5801234990306803,-0.28012349903068023
C. Palmer,66,4,2.2,2.47886430332428,-0.2788643033242799
B. Risa,68,2,1.8,2.077529873044394,-0.2775298730443938
Nilton Varela,68,2,2.5,2.7770524149070144,-0.2770524149070144
P. Bråtveit,69,1,1.5,1.7700309486648829,-0.27003094866488286
N. Bätzner,69,4,3.1,3.3655067264987544,-0.2655067264987543
J. Osorio,72,3,2.3,2.5631530278927923,-0.2631530278927925
A. Müller,65,4,1.3,1.5617878983463511,-0.2617878983463511
J. Gnagnon,74,2,6.0,6.261204138832643,-0.2612041388326434
Nico Serrano,65,4,1.8,2.057648714238649,-0.257648714238649
Valery,69,3,3.1,3.3565274827109968,-0.2565274827109967
S. Shashoua,70,4,3.5999999999999996,3.8563623282431516,-0.25636232824315197
M. Rzatkowski,71,3,1.5,1.7561287987541565,-0.2561287987541565
S. Hezze,66,3,2.0,2.2530800729224434,-0.2530800729224434
B. Nadir,60,3,0.55,0.8021719637285806,-0.25217196372858053
Q. Sullivan,60,4,0.55,0.8013743035909037,-0.2513743035909036
R. Hendriks,66,2,1.9,2.146686411552901,-0.24668641155290105
J. Burkardt,75,4,12.500000000000002,12.746245823861875,-0.246245823861873
Jorge Sáenz,69,2,2.0,2.245719318772931,-0.24571931877293096
R. Sambueza,77,4,3.4,3.636921669114049,-0.23692166911404922
A. Garcia MacNulty,63,2,1.1,1.336885906627094,-0.23688590662709386
S. Seddon,67,3,1.5,1.7354694622558973,-0.23546946225589727
T. Ebuehi,69,2,1.7,1.9264554223258743,-0.22645542232587434
L. Torrico,67,2,0.325,0.5480101894744857,-0.22301018947448564
J. Gelhardt,67,4,2.7,2.9215521662177277,-0.22155216621772755
D. Fofana,63,4,1.2,1.421549568206274,-0.22154956820627403
Luis Carbonell,63,4,1.2,1.4205960210878,-0.22059602108779996
Y. Akgün,66,4,1.7,1.918990113507536,-0.21899011350753605
M. McGovern,66,1,0.08999999999999998,0.3055404414376768,-0.2155404414376768
B. Guillaume,70,4,2.1,2.311806592840372,-0.21180659284037207
J. Greaves,68,2,2.5,2.7109649256990602,-0.21096492569906022
J. Braaf,64,3,1.6,1.8081320381338095,-0.20813203813380943
N. Schmidt,67,4,1.6,1.8056824136567002,-0.20568241365670015
A. Solari,73,3,3.0000000000000004,3.203745947996412,-0.20374594799641166
M. Camara,74,3,9.000000000000002,9.199309853298521,-0.19930985329851936
M. Taabouni,65,4,1.7,1.8937681060418476,-0.1937681060418477
N. De Préville,73,4,2.9,3.093481449440171,-0.1934814494401711
F. Coloccini,68,2,0.22,0.412578868374401,-0.192578868374401
Valera,66,3,2.2,2.3918153777432574,-0.1918153777432572
H. Arter,69,3,0.975,1.163632073789212,-0.1886320737892121
L. Grabban,70,4,1.0,1.1882222150515682,-0.18822221505156822
Dylan Perera,62,4,1.0,1.1878588875641647,-0.1878588875641647
H. Belkebla,74,3,4.6,4.787260893802648,-0.1872608938026481
L. Mbete,62,2,1.0,1.1853588834670978,-0.18535888346709783
M. Dräger,69,2,1.9,2.0810591004764936,-0.18105910047649365
T. Rogić,74,4,4.2,4.379240571069866,-0.17924057106986613
Diego Farías,73,4,2.5,2.669787251439545,-0.1697872514395451
Li Ang,67,2,0.95,1.1197144131417365,-0.16971441314173652
J. Maclaren,75,4,6.0,6.169111357885541,-0.16911135788554077
R. Bourlès,60,4,0.575,0.7429437240222184,-0.16794372402221847
T. Gardner-Hickman,64,2,1.3,1.4637827900314644,-0.16378279003146434
Luis Paezinho,65,2,0.7,0.8634272664538991,-0.16342726645389916
L. Gechter,61,2,0.85,1.009853692329531,-0.15985369232953095
M. Benita,60,3,0.625,0.783201511784275,-0.158201511784275
J. Blasco,66,2,1.3,1.4560460488907148,-0.15604604889071472
R. Ilie,60,4,0.575,0.7293561669565682,-0.15435616695656829
Jordi Masip,75,1,2.8,2.9529940668095875,-0.15299406680958771
I. Nedelcearu,69,2,1.9,2.052738779717772,-0.15273877971777194
Y. Ayoub,69,4,1.6,1.7518319679134167,-0.15183196791341658
A. Elanga,66,3,2.2,2.349767701496992,-0.1497677014969918
D. Hoogewerf,60,4,0.625,0.7737437868147304,-0.14874378681473044
S. Bakari,68,2,1.3,1.446477329163498,-0.14647732916349798
L. Hornicek,63,1,0.875,1.0209214022472566,-0.14592140224725658
S. Ibrahim,60,4,0.575,0.7179602079301043,-0.14296020793010433
C. Souaré,60,3,0.575,0.7177032203617121,-0.14270322036171212
Z. Debast,61,2,0.775,0.9170649545372268,-0.14206495453722678
David Costa,68,4,2.9,3.0420343491731385,-0.14203434917313862
Mariano,75,4,6.0,6.14200209061809,-0.14200209061808966
C. Lykogiannis,68,2,1.2,1.340456386062791,-0.14045638606279098
G. Slonina,63,1,1.1,1.239832270125205,-0.13983227012520483
